element_type,osmid,amenity,name,geometry,wikidata,addr:city,addr:district,building,name:en,website,operator,building:levels,name:bn,wikipedia,addr:postcode,addr:street,level,name:ur,wikimedia_commons,addr:housenumber,opening_hours,nodes,designation,office,addr:housename,internet_access,source,access,surface,area,operator:type,religion,grades,ways,type,ward5wknn,index,points,rank,value
node,11282713201,school,"Haji para darul ulum madrasa, Anar Fitar, Nazir Bari Ln, North Madrasa, Chattogram",POINT (91.8069173 22.3300708),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11282738645,school,"R. S. R International School & College (Unit - 2), Halishahar Rd, Chattogram",POINT (91.8101744 22.332375),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11282758277,kindergarten,"Kalam E Ishke Mustofa Al Koran Academy, Halishahar Rd, Chattogram",POINT (91.8075956 22.3307499),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11282759070,school,"Chittagong English School, Bepari Plaza, Halishahar Road, Agrabad, Chattogram",POINT (91.8057066 22.329476),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11282871428,school,,POINT (91.7814426 22.3344638),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11282957265,university,"Home Economics City Corporation College Chittagong, Port Link Rd, Chattogram",POINT (91.7760929 22.3283782),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11282960245,college,"Chittagong Govt. Physical Education College, Halishahar Rd, Chattogram",POINT (91.7788839 22.3268346),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11282983086,college,"Chittagong Mohila Polytechnic Institute, Port Link Rd, Chattogram",POINT (91.7766293 22.3274874),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11290667308,school,,POINT (91.7770897 22.3249641),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11290669386,library,"pragati library and stationary, Halishahar Rd, Chattogram",POINT (91.7764493 22.3229082),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11290675002,school,,POINT (91.7779515 22.3230419),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11290680438,college,"Jarina Mafzal City Corporation College, Port Link Rd, Chattogram",POINT (91.7851724 22.3171444),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11290697718,school,"Newmoring Child Care Grammar School, New Mooring Colony, Unnamed Road, Chattogram",POINT (91.7880352 22.3254886),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11290719431,school,"Halishahar Munshipara High School, Abdul Latif Road, Chattogram",POINT (91.7838422 22.3160791),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11290745615,school,,POINT (91.7859089 22.3151773),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11290760835,college,"Chittagong Port Girls High School & College, Port Connecting Rd, Chattogram",POINT (91.7912046 22.320024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11290775270,kindergarten,"Sunlit Kindergarten School, Port Link Road, Chattogram",POINT (91.7877727 22.3148892),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11290778864,school,"Fatema Begam Government Primary School, Ananda Bazar, A Gafur Rd, Chattogram",POINT (91.7760686 22.3147061),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11290778871,school,"Shaplakuri kindergarten and High School, Halishahar, Chattogram",POINT (91.7931095 22.3217959),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11290783064,school,"Chittagong Port Handicapped School, Port Connecting Rd, Chattogram",POINT (91.7922857 22.3211118),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11299656960,school,,POINT (91.7812199 22.3178484),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
